// CXL Trace automatically generated
// Format: <R/W> <Address(hex)> <Time(us)> <CompressionRatio(%)>
// Parameters: 500 pages, 0.03 us avg interval, 10000 requests

R 0x1323197340 0.005 53.9
R 0x20d6fc8c0 0.007 50.4
R 0x27b86a5900 0.081 53.9
R 0x6ae4edf1c0 0.101 53.7
R 0x1fecb908c0 0.232 54.1
R 0x1694579080 0.234 54.7
R 0x7735c345c0 0.339 50.5
R 0x1cc6739500 0.345 47.4
R 0x4b6fedb6c0 0.362 50.8
R 0xddbe89080 0.370 49.7
R 0x21b6ff3240 0.374 46.1
R 0x4e29a6fb00 0.457 48.0
R 0x5378d85980 0.494 47.2
R 0xdd520f880 0.507 45.4
R 0x7c5486cd80 0.509 48.5
R 0x4a7dda43c0 0.586 54.0
R 0x302e596300 0.639 45.2
R 0x42f7f61dc0 0.652 51.1
R 0x2bb137b880 0.675 54.8
R 0x2152f5e700 0.690 51.1
R 0x7adbd94d00 0.699 52.0
R 0xfc8042f40 0.702 46.7
R 0x5034d16dc0 0.717 47.6
R 0x1836331e40 0.766 52.4
R 0x25b66b6700 0.835 52.5
R 0x5cab941480 0.849 49.6
R 0x1323197f80 0.854 49.9
R 0x3f38141340 0.870 53.3
R 0x63ade2a5c0 0.941 46.0
R 0x77760f7440 0.954 52.3
R 0x41c921bf40 0.956 47.3
R 0x11c6030740 0.978 45.5
R 0x4b6fedb5c0 1.009 46.8
R 0x30fe113f80 1.069 48.1
R 0x9ff8f1100 1.085 46.3
R 0x4e1a52ad40 1.114 46.8
R 0x39ceabd100 1.241 48.7
R 0x47e7f8d200 1.319 48.9
R 0x50248605c0 1.369 47.6
R 0x5a6d16080 1.395 52.7
R 0x136445ea80 1.424 48.0
R 0x78114adb40 1.464 50.3
R 0x76790d8a40 1.486 52.4
R 0x28cbc7f100 1.498 53.1
R 0xce005a980 1.509 50.1
R 0x6330be3400 1.546 54.9
R 0x76e590c6c0 1.558 46.5
R 0x759fe8d9c0 1.563 52.5
R 0x14155e0840 1.620 52.1
R 0x4c17ec5740 1.629 52.4
R 0x11c6030b80 1.748 52.3
R 0x58870bf640 1.749 53.3
R 0x71dfc8ba00 1.759 46.8
R 0x11f8fa5ac0 1.773 53.9
R 0x19c55e7880 1.775 54.7
R 0x5f69eea80 1.791 47.5
R 0x5fffa6ee40 1.803 52.7
R 0x7d336927c0 1.817 48.7
R 0x3c98e5dac0 1.890 54.6
R 0x47406909c0 1.998 50.3
R 0x704b86d1c0 2.017 45.1
R 0x60667c29c0 2.066 49.0
R 0x5388dd94c0 2.113 52.6
R 0x19f3a4d1c0 2.150 52.8
R 0x47a02908c0 2.166 53.8
R 0x43df23c740 2.170 50.2
R 0x78068f15c0 2.270 46.1
R 0x2bb137bd40 2.288 50.4
R 0x7855e329c0 2.298 47.8
R 0x60667c2f80 2.301 54.6
R 0x33fa97c8c0 2.329 53.9
R 0x1a82100d40 2.383 45.8
R 0x11c60308c0 2.386 53.2
R 0x19c55e7f80 2.388 54.9
R 0x2ca15f8840 2.404 51.3
R 0x47e7f8d100 2.423 54.0
R 0xea14f0f40 2.433 49.6
R 0x5602d8e4c0 2.454 47.8
R 0x4c1481e340 2.475 54.6
R 0x76b455b5c0 2.562 45.6
R 0x1eebec440 2.573 50.3
R 0x5c26bd2580 2.599 50.6
R 0x1836331640 2.600 50.2
R 0x34200d1000 2.615 54.5
R 0x1156160b40 2.627 49.3
R 0x49a3e15880 2.655 52.1
R 0x4817d8bd80 2.684 49.1
R 0x2d546c1cc0 2.709 47.4
R 0x3da167b200 2.732 52.2
R 0x6b162e11c0 2.777 47.5
R 0x727fb31900 2.786 53.1
R 0x9ad0a84c0 2.836 52.5
R 0x2f1d8b5600 2.863 45.7
R 0x1eebec980 2.876 49.1
R 0x2ec0df8e80 2.876 49.2
R 0x2ec0df8400 2.928 49.7
R 0x3d9bdab640 2.947 48.1
R 0x5388dd9180 2.951 52.4
R 0x601d941140 2.959 47.3
R 0x25e25418c0 2.971 54.6
R 0x710e27c040 3.014 52.2
R 0x34e1405680 3.026 49.3
R 0x4ac024f680 3.049 49.7
R 0x54375eaec0 3.130 47.1
R 0x60d2dc5ac0 3.136 49.6
R 0x7c367e6a80 3.219 45.5
R 0x1107a79480 3.246 52.8
R 0x4c17ec57c0 3.248 52.7
R 0x4ac024fd40 3.261 47.7
R 0x2fa8bb5280 3.281 47.6
R 0x7c5486c0c0 3.327 50.4
R 0x4e5db9cc40 3.354 48.9
R 0x6fb11193c0 3.387 47.1
R 0x2bfab563c0 3.394 51.0
R 0x1893d16800 3.395 46.8
